id,user_id,title,description,category_id,price,images,reserved,location,shipping,favorited,bump,web_slug,created_at,modified_at,taxonomy,is_favoriteable,is_refurbished,discount
nzx4no8empj2,kp617e4p1g65,Cartel boda ,"Diseñamos y fabricamos  carteles para  todo tipo de eventos, mediante corte y grabado laser en madera o metacrilatos. 
(NO TRABAJANOS CON VINILLOS NI IMPRESION, TODO ARTESANAL) ",12467,"{'amount': 25, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/0i/__/c10420p1090095230/i5356066974.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/0i/__/c10420p1090095230/i5356066974.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/0i/__/c10420p1090095230/i5356066974.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/0i/__/c10420p1090095230/i5356066983.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/0i/__/c10420p1090095230/i5356066983.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/0i/__/c10420p1090095230/i5356066983.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/0i/__/c10420p1090095230/i5356066989.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/0i/__/c10420p1090095230/i5356066989.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/0i/__/c10420p1090095230/i5356066989.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/0i/__/c10420p1090095230/i5356066988.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/0i/__/c10420p1090095230/i5356066988.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/0i/__/c10420p1090095230/i5356066988.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.42133659064592, 'longitude': -3.700632081073476, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': False}",{'flag': False},{'type': 'country'},cartel-boda-1090095230,1736995190445,1736995471543,"[{'id': 12467, 'name': 'Home & garden', 'icon': 'furniture'}, {'id': 10122, 'name': 'Decoration and mirrors', 'icon': None}, {'id': 24241, 'name': 'Other', 'icon': None}]",{'flag': True},{'flag': False},
qjw4wyke5ezo,dqjwrrkqn46o,2 Sillones de director de cone años 80’s,Dos sillones de director de cine de los años 80’s,12467,"{'amount': 100, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i2/1s/__/c10420p1091834305/i5363643533.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i2/1s/__/c10420p1091834305/i5363643533.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i2/1s/__/c10420p1091834305/i5363643533.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.42437923632677, 'longitude': -3.7019259986626762, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': True}",{'flag': False},{'type': 'none'},2-sillones-de-director-de-cone-anos-80s-1091834305,1737380814917,1737380825127,"[{'id': 12467, 'name': 'Home & garden', 'icon': 'furniture'}, {'id': 10125, 'name': 'Furniture and organization', 'icon': None}, {'id': 24216, 'name': 'Sofas and armchairs', 'icon': None}, {'id': 24219, 'name': 'Armchairs and rocking chairs', 'icon': None}]",{'flag': True},{'flag': False},
e6581y1wl06o,ejk49rm1rpzx,Candelabros Villeroy Boch ,Conjunto.  Completamente nuevos. Preciosos ,12467,"{'amount': 45, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i2/0u/__/c10420p1091790500/i5363436619.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i2/0u/__/c10420p1091790500/i5363436619.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i2/0u/__/c10420p1091790500/i5363436619.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i2/0u/__/c10420p1091790500/i5363437166.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i2/0u/__/c10420p1091790500/i5363437166.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i2/0u/__/c10420p1091790500/i5363437166.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i2/0u/__/c10420p1091790500/i5363437211.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i2/0u/__/c10420p1091790500/i5363437211.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i2/0u/__/c10420p1091790500/i5363437211.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i2/0u/__/c10420p1091790500/i5363437238.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i2/0u/__/c10420p1091790500/i5363437238.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i2/0u/__/c10420p1091790500/i5363437238.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i2/0u/__/c10420p1091790500/i5363437259.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i2/0u/__/c10420p1091790500/i5363437259.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i2/0u/__/c10420p1091790500/i5363437259.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i2/0u/__/c10420p1091790500/i5363437302.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i2/0u/__/c10420p1091790500/i5363437302.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i2/0u/__/c10420p1091790500/i5363437302.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.421045778937206, 'longitude': -3.688092990140122, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': True}",{'flag': False},{'type': 'none'},candelabros-villeroy-boch-1091790500,1737373328653,1737373338942,"[{'id': 12467, 'name': 'Home & garden', 'icon': 'furniture'}, {'id': 10122, 'name': 'Decoration and mirrors', 'icon': None}, {'id': 24240, 'name': 'Candles and candle holders', 'icon': None}]",{'flag': True},{'flag': False},
3zl82grwq46x,9nz0wlmrxv6o,Mueble ,Se vende mueble nuevo sin utilizar recién comprado. Retiro en un restaurante en Alonso Martínez.,12467,"{'amount': 140, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i2/07/__/c10420p1091760121/i5363269650.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i2/07/__/c10420p1091760121/i5363269650.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i2/07/__/c10420p1091760121/i5363269650.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i2/07/__/c10420p1091760121/i5363269720.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i2/07/__/c10420p1091760121/i5363269720.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i2/07/__/c10420p1091760121/i5363269720.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i2/07/__/c10420p1091760121/i5363269742.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i2/07/__/c10420p1091760121/i5363269742.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i2/07/__/c10420p1091760121/i5363269742.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i2/07/__/c10420p1091760121/i5363269773.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i2/07/__/c10420p1091760121/i5363269773.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i2/07/__/c10420p1091760121/i5363269773.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.41680396199009, 'longitude': -3.701426537947753, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': True}",{'flag': False},{'type': 'none'},mueble-1091760121,1737368478404,1737368488611,"[{'id': 12467, 'name': 'Home & garden', 'icon': 'furniture'}, {'id': 10125, 'name': 'Furniture and organization', 'icon': None}, {'id': 10127, 'name': 'Storage furniture', 'icon': None}, {'id': 10292, 'name': 'Racks & shelves', 'icon': None}]",{'flag': True},{'flag': False},
pj9mp9d5726e,qnzxpyqr3pj2,Base de cama Ikea,"Base de cama tapizada de Ikea de 140x200. En perfecto estado. Se entrega con sus patas. Solo venta en persona.
Precio de venta Ikea 129€
Negociable.",12467,"{'amount': 70, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i0/aq/__/c10420p1088891513/i5349645688.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i0/aq/__/c10420p1088891513/i5349645688.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i0/aq/__/c10420p1088891513/i5349645688.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i0/aq/__/c10420p1088891513/i5349645723.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i0/aq/__/c10420p1088891513/i5349645723.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i0/aq/__/c10420p1088891513/i5349645723.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i0/aq/__/c10420p1088891513/i5349645714.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i0/aq/__/c10420p1088891513/i5349645714.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i0/aq/__/c10420p1088891513/i5349645714.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i0/aq/__/c10420p1088891513/i5349645704.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i0/aq/__/c10420p1088891513/i5349645704.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i0/aq/__/c10420p1088891513/i5349645704.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.41689230097063, 'longitude': -3.6917879089591996, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': False}",{'flag': False},{'type': 'none'},base-de-cama-ikea-1088891513,1736705569633,1736953857895,"[{'id': 12467, 'name': 'Home & garden', 'icon': 'furniture'}, {'id': 10125, 'name': 'Furniture and organization', 'icon': None}, {'id': 24273, 'name': 'Beds and accessories', 'icon': None}, {'id': 24204, 'name': 'Bed frames', 'icon': None}]",{'flag': True},{'flag': False},
36e17wk1oyjd,pzpy8r522kz3,Estufa parafina ZIBRO LC 30,"Estufa parafina , poco uso , transporte gratis en Madrid y Comunidad",12467,"{'amount': 125, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i2/02/__/c10420p1091753539/i5363869052.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i2/02/__/c10420p1091753539/i5363869052.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i2/02/__/c10420p1091753539/i5363869052.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i2/02/__/c10420p1091753539/i5363869169.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i2/02/__/c10420p1091753539/i5363869169.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i2/02/__/c10420p1091753539/i5363869169.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i2/02/__/c10420p1091753539/i5363239555.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i2/02/__/c10420p1091753539/i5363239555.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i2/02/__/c10420p1091753539/i5363239555.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.41928170346787, 'longitude': -3.6821490876866685, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': True}",{'flag': False},{'type': 'none'},estufa-parafina-zibro-lc-30-1091753539,1737367453658,1737389498005,"[{'id': 12467, 'name': 'Home & garden', 'icon': 'furniture'}, {'id': 24276, 'name': 'Heating and air conditioning', 'icon': None}, {'id': 24261, 'name': 'Fireplaces, stoves and radiators', 'icon': None}]",{'flag': True},{'flag': False},
nz04pmdxdejo,k3zlomdy98zx,Cama y colchon,cama de metal elevable con su colchon ,12467,"{'amount': 50, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/yy/__/c10420p1091702299/i5362964526.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/yy/__/c10420p1091702299/i5362964526.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/yy/__/c10420p1091702299/i5362964526.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/yy/__/c10420p1091702299/i5362966481.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/yy/__/c10420p1091702299/i5362966481.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/yy/__/c10420p1091702299/i5362966481.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/yy/__/c10420p1091702299/i5362966473.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/yy/__/c10420p1091702299/i5362966473.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/yy/__/c10420p1091702299/i5362966473.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/yy/__/c10420p1091702299/i5362966462.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/yy/__/c10420p1091702299/i5362966462.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/yy/__/c10420p1091702299/i5362966462.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.42550212479095, 'longitude': -3.690459459372363, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': True}",{'flag': False},{'type': 'none'},cama-y-colchon-1091702299,1737356989605,1737357116070,"[{'id': 12467, 'name': 'Home & garden', 'icon': 'furniture'}, {'id': 10125, 'name': 'Furniture and organization', 'icon': None}, {'id': 24273, 'name': 'Beds and accessories', 'icon': None}, {'id': 10269, 'name': 'Mattresses', 'icon': None}]",{'flag': True},{'flag': False},
pzp2e9gw7lj3,436eqkynoq6d,Estantería pequeña ,Estantería pequeña para salón o habitación ,12467,"{'amount': 15, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/y1/__/c10420p1091659102/i5362702364.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/y1/__/c10420p1091659102/i5362702364.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/y1/__/c10420p1091659102/i5362702364.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/y1/__/c10420p1091659102/i5362702378.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/y1/__/c10420p1091659102/i5362702378.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/y1/__/c10420p1091659102/i5362702378.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/y1/__/c10420p1091659102/i5362702381.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/y1/__/c10420p1091659102/i5362702381.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/y1/__/c10420p1091659102/i5362702381.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/y1/__/c10420p1091659102/i5362702384.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/y1/__/c10420p1091659102/i5362702384.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/y1/__/c10420p1091659102/i5362702384.jpg?pictureSize=W800'}}]",{'flag': True},"{'latitude': 40.42237501909822, 'longitude': -3.6843551323055164, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': False}",{'flag': False},{'type': 'none'},estanteria-pequena-1091659102,1737330755539,1737391991934,"[{'id': 12467, 'name': 'Home & garden', 'icon': 'furniture'}, {'id': 10125, 'name': 'Furniture and organization', 'icon': None}, {'id': 10127, 'name': 'Storage furniture', 'icon': None}, {'id': 10292, 'name': 'Racks & shelves', 'icon': None}]",{'flag': True},{'flag': False},
9jdk9evyv96k,xzolq5e7m2z9,Sillon reclinable electrico,sillon electrici recilinable con varias posiciones ,12467,"{'amount': 150, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/hy/m5/__/c10420p1086066136/i5336876836.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/hy/m5/__/c10420p1086066136/i5336876836.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/hy/m5/__/c10420p1086066136/i5336876836.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/hy/m5/__/c10420p1086066136/i5336876860.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/hy/m5/__/c10420p1086066136/i5336876860.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/hy/m5/__/c10420p1086066136/i5336876860.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/hy/m5/__/c10420p1086066136/i5336876869.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/hy/m5/__/c10420p1086066136/i5336876869.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/hy/m5/__/c10420p1086066136/i5336876869.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/hy/m5/__/c10420p1086066136/i5336876854.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/hy/m5/__/c10420p1086066136/i5336876854.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/hy/m5/__/c10420p1086066136/i5336876854.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.42121005714099, 'longitude': -3.6935230718688445, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': True}",{'flag': False},{'type': 'none'},sillon-reclinable-electrico-1086066136,1736183707057,1736264427923,"[{'id': 12467, 'name': 'Home & garden', 'icon': 'furniture'}, {'id': 10125, 'name': 'Furniture and organization', 'icon': None}, {'id': 24216, 'name': 'Sofas and armchairs', 'icon': None}, {'id': 24219, 'name': 'Armchairs and rocking chairs', 'icon': None}]",{'flag': True},{'flag': False},
36e17wp8yyjd,436eqkynoq6d,Mesa auxiliar,Mesa auxiliar Ikea,12467,"{'amount': 10, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/y0/__/c10420p1091658139/i5362696963.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/y0/__/c10420p1091658139/i5362696963.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/y0/__/c10420p1091658139/i5362696963.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/y0/__/c10420p1091658139/i5362697004.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/y0/__/c10420p1091658139/i5362697004.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/y0/__/c10420p1091658139/i5362697004.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/y0/__/c10420p1091658139/i5362697012.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/y0/__/c10420p1091658139/i5362697012.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/y0/__/c10420p1091658139/i5362697012.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.42237501909822, 'longitude': -3.6843551323055164, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': False}",{'flag': False},{'type': 'none'},mesa-auxiliar-1091658139,1737330134502,1737330144735,"[{'id': 12467, 'name': 'Home & garden', 'icon': 'furniture'}, {'id': 10125, 'name': 'Furniture and organization', 'icon': None}, {'id': 24207, 'name': 'Tables and coffee tables', 'icon': None}, {'id': 24209, 'name': 'Dining tables', 'icon': None}]",{'flag': True},{'flag': False},
8j34wyprx169,9nz00l1pd7zo,Barras cortinas Leroy Merlín ,"Juego de dos barras extensibles de cortinas con anclaje de pared, en color plata.",12467,"{'amount': 13, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/xq/__/c10420p1091645082/i5362630486.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/xq/__/c10420p1091645082/i5362630486.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/xq/__/c10420p1091645082/i5362630486.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/xq/__/c10420p1091645082/i5362630544.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/xq/__/c10420p1091645082/i5362630544.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/xq/__/c10420p1091645082/i5362630544.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/xq/__/c10420p1091645082/i5362630552.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/xq/__/c10420p1091645082/i5362630552.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/xq/__/c10420p1091645082/i5362630552.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.42657553152534, 'longitude': -3.688730636133934, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': False}",{'flag': False},{'type': 'none'},barras-cortinas-leroy-merlin-1091645082,1737324927597,1737324938453,"[{'id': 12467, 'name': 'Home & garden', 'icon': 'furniture'}, {'id': 10122, 'name': 'Decoration and mirrors', 'icon': None}, {'id': 10273, 'name': 'Curtains', 'icon': None}]",{'flag': True},{'flag': False},
